Using GATK jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar ApplyBQSR -R resources/genome.fasta -I results/dedup/NA12878.bwa.sorted.bam --bqsr-recal-file results/recal/NA12878.bwa.grp -O results/recal/NA12878.bwa.sorted.bam
09:28:44.002 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Aug 13, 2021 9:28:44 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
09:28:44.281 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.4.1
09:28:44.282 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
09:28:44.282 INFO  ApplyBQSR - Executing as stoecker@cs03 on Linux v5.4.0-66-generic amd64
09:28:44.282 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_282-b08
09:28:44.282 INFO  ApplyBQSR - Start Date/Time: August 13, 2021 9:28:43 AM UTC
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.283 INFO  ApplyBQSR - HTSJDK Version: 2.21.0
09:28:44.283 INFO  ApplyBQSR - Picard Version: 2.21.2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:28:44.283 INFO  ApplyBQSR - Deflater: IntelDeflater
09:28:44.283 INFO  ApplyBQSR - Inflater: IntelInflater
09:28:44.283 INFO  ApplyBQSR - GCS max retries/reopens: 20
09:28:44.283 INFO  ApplyBQSR - Requester pays: disabled
09:28:44.283 INFO  ApplyBQSR - Initializing engine
09:28:44.552 INFO  ApplyBQSR - Done initializing engine
09:28:44.571 INFO  ProgressMeter - Starting traversal
09:28:44.572 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
09:28:54.583 INFO  ProgressMeter -            1:2014243              0.2                559000        3350649.4
09:29:04.582 INFO  ProgressMeter -            1:3924433              0.3               1174000        3520239.9
09:29:14.598 INFO  ProgressMeter -            1:6129935              0.5               1769000        3534936.4
09:29:24.603 INFO  ProgressMeter -            1:8337840              0.7               2376000        3561329.0
09:29:34.605 INFO  ProgressMeter -           1:10596472              0.8               2994000        3590502.1
09:29:44.614 INFO  ProgressMeter -           1:12777679              1.0               3596000        3593484.6
09:29:54.618 INFO  ProgressMeter -           1:15032430              1.2               4186000        3585643.7
09:30:04.621 INFO  ProgressMeter -           1:16873269              1.3               4787000        3588052.3
09:30:14.622 INFO  ProgressMeter -           1:19148406              1.5               5400000        3598001.1
09:30:24.628 INFO  ProgressMeter -           1:21446809              1.7               6022000        3611213.8
09:30:34.627 INFO  ProgressMeter -           1:23683443              1.8               6636000        3617827.4
09:30:44.633 INFO  ProgressMeter -           1:25919696              2.0               7245000        3620659.5
09:30:54.636 INFO  ProgressMeter -           1:28163690              2.2               7859000        3625445.9
09:31:04.641 INFO  ProgressMeter -           1:30406225              2.3               8468000        3627355.1
09:31:14.643 INFO  ProgressMeter -           1:32629641              2.5               9079000        3629881.9
09:31:24.645 INFO  ProgressMeter -           1:34881165              2.7               9688000        3631343.2
09:31:34.656 INFO  ProgressMeter -           1:37131167              2.8              10300000        3633498.7
09:31:44.656 INFO  ProgressMeter -           1:39406343              3.0              10914000        3636303.1
09:31:54.665 INFO  ProgressMeter -           1:41603857              3.2              11519000        3635799.3
09:32:04.679 INFO  ProgressMeter -           1:43837876              3.3              12132000        3637653.9
09:32:14.690 INFO  ProgressMeter -           1:46055602              3.5              12737000        3637099.2
09:32:24.692 INFO  ProgressMeter -           1:48336486              3.7              13351000        3639196.8
09:32:34.706 INFO  ProgressMeter -           1:50775102              3.8              13991000        3647700.9
09:32:44.708 INFO  ProgressMeter -           1:53010573              4.0              14594000        3646433.7
09:32:54.716 INFO  ProgressMeter -           1:55279901              4.2              15212000        3648792.9
09:33:04.724 INFO  ProgressMeter -           1:57619142              4.3              15816000        3647713.6
09:33:14.732 INFO  ProgressMeter -           1:59930666              4.5              16421000        3646950.0
09:33:24.744 INFO  ProgressMeter -           1:62288602              4.7              17028000        3646617.1
09:33:34.760 INFO  ProgressMeter -           1:64627463              4.8              17637000        3646683.0
09:33:44.761 INFO  ProgressMeter -           1:66909307              5.0              18248000        3647302.2
09:33:54.768 INFO  ProgressMeter -           1:69236184              5.2              18856000        3647242.4
09:34:04.783 INFO  ProgressMeter -           1:71586179              5.3              19462000        3646720.4
09:34:14.791 INFO  ProgressMeter -           1:74046815              5.5              20068000        3646307.5
09:34:24.806 INFO  ProgressMeter -           1:76427108              5.7              20677000        3646372.8
09:34:34.808 INFO  ProgressMeter -           1:78698397              5.8              21278000        3645199.2
09:34:44.824 INFO  ProgressMeter -           1:81068443              6.0              21882000        3644459.0
09:34:54.836 INFO  ProgressMeter -           1:83461117              6.2              22486000        3643788.3
09:35:04.851 INFO  ProgressMeter -           1:85730215              6.3              23085000        3642335.3
09:35:14.852 INFO  ProgressMeter -           1:88113128              6.5              23712000        3645382.8
