Using GATK jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar ApplyBQSR -R resources/genome.fasta -I results/dedup/NA12878.novoalign.sorted.bam --bqsr-recal-file results/recal/NA12878.novoalign.grp -O results/recal/NA12878.novoalign.sorted.bam
19:09:32.982 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Aug 13, 2021 7:09:33 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
19:09:33.358 INFO  ApplyBQSR - ------------------------------------------------------------
19:09:33.359 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.4.1
19:09:33.359 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
19:09:33.359 INFO  ApplyBQSR - Executing as stoecker@cs03 on Linux v5.4.0-66-generic amd64
19:09:33.359 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_282-b08
19:09:33.359 INFO  ApplyBQSR - Start Date/Time: August 13, 2021 7:09:32 PM UTC
19:09:33.359 INFO  ApplyBQSR - ------------------------------------------------------------
19:09:33.359 INFO  ApplyBQSR - ------------------------------------------------------------
19:09:33.360 INFO  ApplyBQSR - HTSJDK Version: 2.21.0
19:09:33.360 INFO  ApplyBQSR - Picard Version: 2.21.2
19:09:33.360 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
19:09:33.360 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
19:09:33.360 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
19:09:33.360 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
19:09:33.360 INFO  ApplyBQSR - Deflater: IntelDeflater
19:09:33.361 INFO  ApplyBQSR - Inflater: IntelInflater
19:09:33.361 INFO  ApplyBQSR - GCS max retries/reopens: 20
19:09:33.361 INFO  ApplyBQSR - Requester pays: disabled
19:09:33.361 INFO  ApplyBQSR - Initializing engine
19:09:33.879 INFO  ApplyBQSR - Done initializing engine
19:09:33.914 INFO  ProgressMeter - Starting traversal
19:09:33.915 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
19:09:43.941 INFO  ProgressMeter -            1:1145215              0.2                333000        1993614.0
19:09:53.947 INFO  ProgressMeter -            1:2486120              0.3                737000        2207578.3
19:10:03.957 INFO  ProgressMeter -            1:3708937              0.5               1144000        2284953.4
19:10:13.959 INFO  ProgressMeter -            1:5170584              0.7               1535000        2299970.0
19:10:23.968 INFO  ProgressMeter -            1:6622450              0.8               1939000        2324382.6
19:10:33.972 INFO  ProgressMeter -            1:8130022              1.0               2348000        2345771.5
19:10:44.000 INFO  ProgressMeter -            1:9589065              1.2               2746000        2350893.2
19:10:54.002 INFO  ProgressMeter -           1:11033498              1.3               3144000        2355438.5
19:11:04.024 INFO  ProgressMeter -           1:12515978              1.5               3553000        2365827.7
19:11:14.043 INFO  ProgressMeter -           1:14056161              1.7               3956000        2370565.7
19:11:24.055 INFO  ProgressMeter -           1:15582594              1.8               4364000        2377337.9
19:11:34.070 INFO  ProgressMeter -           1:16750359              2.0               4776000        2384939.3
19:11:44.076 INFO  ProgressMeter -           1:18216971              2.2               5177000        2386447.4
19:11:54.086 INFO  ProgressMeter -           1:19725334              2.3               5584000        2390240.4
19:12:04.090 INFO  ProgressMeter -           1:21257089              2.5               5997000        2396004.7
19:12:14.099 INFO  ProgressMeter -           1:22707485              2.7               6396000        2395744.9
19:12:24.113 INFO  ProgressMeter -           1:24221555              2.8               6810000        2400733.3
19:12:34.127 INFO  ProgressMeter -           1:25922335              3.0               7270000        2420482.5
19:12:44.135 INFO  ProgressMeter -           1:28305493              3.2               7921000        2498488.6
19:12:54.138 INFO  ProgressMeter -           1:30640633              3.3               8553000        2563042.2
19:13:04.141 INFO  ProgressMeter -           1:32814858              3.5               9150000        2611475.3
19:13:14.150 INFO  ProgressMeter -           1:35142480              3.7               9778000        2663881.8
19:13:24.150 INFO  ProgressMeter -             unmapped              3.8              10375000        2703759.2
19:13:34.152 INFO  ProgressMeter -           1:39647043              4.0              10999000        2747037.3
19:13:44.159 INFO  ProgressMeter -           1:41896484              4.2              11618000        2785601.3
19:13:54.165 INFO  ProgressMeter -           1:44149571              4.3              12232000        2820057.6
19:14:04.168 INFO  ProgressMeter -           1:46405193              4.5              12848000        2852438.3
19:14:14.169 INFO  ProgressMeter -           1:48693437              4.7              13459000        2881467.8
19:14:24.175 INFO  ProgressMeter -           1:51030120              4.8              14075000        2909460.5
19:14:34.185 INFO  ProgressMeter -           1:53297627              5.0              14688000        2934958.5
19:14:44.196 INFO  ProgressMeter -           1:55573967              5.2              15304000        2959382.0
19:14:54.199 INFO  ProgressMeter -           1:57951323              5.3              15914000        2981229.2
19:15:04.207 INFO  ProgressMeter -           1:60291013              5.5              16528000        3002434.2
19:15:14.207 INFO  ProgressMeter -           1:62682620              5.7              17145000        3022992.0
19:15:24.222 INFO  ProgressMeter -           1:65035972              5.8              17760000        3041903.2
19:15:34.223 INFO  ProgressMeter -           1:67334630              6.0              18376000        3060048.6
19:15:44.237 INFO  ProgressMeter -           1:69744402              6.2              18999000        3078240.0
19:15:54.246 INFO  ProgressMeter -             unmapped              6.3              19620000        3095206.8
19:16:04.259 INFO  ProgressMeter -           1:74675438              6.5              20241000        3111255.7
