Using GATK jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -Xmx4G -XX:ParallelGCThreads=10 -jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar HaplotypeCaller -R resources/genome.fasta -I results/recal/NA12878.bwa.sorted.bam -O results/candidate_calls/haplotypecaller/NA12878.bwa.vcf
13:10:04.972 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Aug 13, 2021 1:10:06 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
13:10:06.446 INFO  HaplotypeCaller - ------------------------------------------------------------
13:10:06.446 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.1.4.1
13:10:06.446 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
13:10:06.447 INFO  HaplotypeCaller - Executing as stoecker@cs03 on Linux v5.4.0-66-generic amd64
13:10:06.447 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_152-release-1056-b12
13:10:06.447 INFO  HaplotypeCaller - Start Date/Time: August 13, 2021 1:10:04 PM UTC
13:10:06.447 INFO  HaplotypeCaller - ------------------------------------------------------------
13:10:06.447 INFO  HaplotypeCaller - ------------------------------------------------------------
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Version: 2.21.0
13:10:06.447 INFO  HaplotypeCaller - Picard Version: 2.21.2
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:10:06.447 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:10:06.447 INFO  HaplotypeCaller - Deflater: IntelDeflater
13:10:06.448 INFO  HaplotypeCaller - Inflater: IntelInflater
13:10:06.448 INFO  HaplotypeCaller - GCS max retries/reopens: 20
13:10:06.448 INFO  HaplotypeCaller - Requester pays: disabled
13:10:06.448 INFO  HaplotypeCaller - Initializing engine
13:10:06.819 INFO  HaplotypeCaller - Done initializing engine
13:10:06.830 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
13:10:06.842 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:10:06.847 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/051b804216fa585c182b25e4209781af/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:10:06.879 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:10:06.879 INFO  IntelPairHmm - Available threads: 1
13:10:06.879 INFO  IntelPairHmm - Requested threads: 4
13:10:06.879 WARN  IntelPairHmm - Using 1 available threads, but 4 were requested
13:10:06.879 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:10:06.911 INFO  ProgressMeter - Starting traversal
13:10:06.911 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:10:07.503 WARN  InbreedingCoeff - InbreedingCoeff will not be calculated; at least 10 samples must have called genotypes
13:10:16.915 INFO  ProgressMeter -             1:650996              0.2                  2810          16853.3
13:10:27.075 INFO  ProgressMeter -             1:979389              0.3                  4420          13152.2
13:10:37.118 INFO  ProgressMeter -            1:1614678              0.5                  7480          14857.5
13:10:47.127 INFO  ProgressMeter -            1:2127299              0.7                 10130          15113.4
13:11:06.310 INFO  ProgressMeter -            1:2653540              1.0                 12590          12717.4
13:11:17.721 INFO  ProgressMeter -            1:2655241              1.2                 12600          10676.8
13:11:30.751 INFO  ProgressMeter -            1:2685293              1.4                 12790           9153.1
13:11:42.104 INFO  ProgressMeter -            1:2756806              1.6                 13100           8256.9
13:11:52.123 INFO  ProgressMeter -            1:3172459              1.8                 15320           8736.6
13:12:02.134 INFO  ProgressMeter -            1:3753691              1.9                 18340           9550.2
13:12:12.139 INFO  ProgressMeter -            1:4273008              2.1                 21020          10071.2
13:12:22.150 INFO  ProgressMeter -            1:4800189              2.3                 23820          10568.0
13:12:32.226 INFO  ProgressMeter -            1:5275955              2.4                 26340          10875.7
13:12:42.663 INFO  ProgressMeter -            1:5668932              2.6                 28290          10898.1
13:12:53.108 INFO  ProgressMeter -            1:5676547              2.8                 28330          10227.6
13:13:03.124 INFO  ProgressMeter -            1:6531369              2.9                 32140          10943.6
13:13:13.146 INFO  ProgressMeter -            1:7164467              3.1                 35330          11382.4
13:13:23.187 INFO  ProgressMeter -            1:7698751              3.3                 38130          11656.0
13:13:33.191 INFO  ProgressMeter -            1:8263858              3.4                 40950          11911.0
13:13:43.205 INFO  ProgressMeter -            1:8976308              3.6                 44340          12299.9
13:13:53.356 INFO  ProgressMeter -            1:9380169              3.8                 46580          12342.1
13:14:03.372 INFO  ProgressMeter -           1:10211520              3.9                 50330          12770.8
13:14:13.378 INFO  ProgressMeter -           1:10849574              4.1                 53560          13038.7
13:14:23.391 INFO  ProgressMeter -           1:11590301              4.3                 57050          13346.1
13:14:33.392 INFO  ProgressMeter -           1:12105478              4.4                 59690          13439.6
13:14:43.416 INFO  ProgressMeter -           1:12936735              4.6                 63420          13761.8
13:14:53.423 INFO  ProgressMeter -           1:13424006              4.8                 65710          13760.7
13:15:03.426 INFO  ProgressMeter -           1:13996556              4.9                 68580          13877.2
13:15:13.436 INFO  ProgressMeter -           1:14436777              5.1                 70970          13891.9
13:15:23.436 INFO  ProgressMeter -           1:15014409              5.3                 73840          13997.0
13:15:33.456 INFO  ProgressMeter -           1:15466275              5.4                 76290          14017.7
13:15:43.463 INFO  ProgressMeter -           1:16062831              5.6                 79140          14109.0
13:15:53.607 INFO  ProgressMeter -           1:16509414              5.8                 81470          14099.4
13:16:04.011 INFO  ProgressMeter -           1:16581983              6.0                 81950          13769.3
13:16:14.255 INFO  ProgressMeter -           1:16611756              6.1                 82180          13422.8
13:16:24.601 INFO  ProgressMeter -           1:16636303              6.3                 82390          13088.5
13:16:34.803 INFO  ProgressMeter -           1:16726839              6.5                 82970          12834.0
13:16:45.287 INFO  ProgressMeter -           1:16761405              6.6                 83210          12532.4
13:16:55.294 INFO  ProgressMeter -           1:16987197              6.8                 84420          12403.1
13:17:05.309 INFO  ProgressMeter -           1:17483388              7.0                 87040          12481.9
13:17:15.354 INFO  ProgressMeter -           1:18136531              7.1                 90350          12652.8
13:17:25.542 INFO  ProgressMeter -           1:18729675              7.3                 93380          12773.4
13:17:35.553 INFO  ProgressMeter -           1:19294246              7.5                 96390          12890.9
13:17:45.561 INFO  ProgressMeter -           1:19818334              7.6                 99140          12969.4
13:17:55.567 INFO  ProgressMeter -           1:20529791              7.8                102620          13138.0
13:18:05.573 INFO  ProgressMeter -           1:21335412              8.0                106180          13309.6
13:18:15.605 INFO  ProgressMeter -           1:21778953              8.1                108610          13334.7
13:18:25.622 INFO  ProgressMeter -           1:22162410              8.3                110720          13320.7
13:18:35.641 INFO  ProgressMeter -           1:22813863              8.5                113960          13440.5
13:18:45.651 INFO  ProgressMeter -           1:23471857              8.6                117350          13573.3
13:18:55.702 INFO  ProgressMeter -           1:24009365              8.8                120140          13631.9
13:19:05.771 INFO  ProgressMeter -           1:24574424              9.0                122970          13692.2
13:19:15.786 INFO  ProgressMeter -           1:25116723              9.1                125760          13747.4
13:19:25.804 INFO  ProgressMeter -           1:25952247              9.3                129600          13913.2
13:19:35.819 INFO  ProgressMeter -           1:26597571              9.5                132810          14006.8
13:19:45.821 INFO  ProgressMeter -           1:27595604              9.6                137080          14207.4
13:19:55.844 INFO  ProgressMeter -           1:28330254              9.8                140500          14314.0
13:20:05.866 INFO  ProgressMeter -           1:28976768             10.0                143710          14396.1
13:20:15.869 INFO  ProgressMeter -           1:29685092             10.1                147080          14491.6
13:20:25.897 INFO  ProgressMeter -           1:30186691             10.3                149910          14531.2
13:20:35.909 INFO  ProgressMeter -           1:30712222             10.5                152730          14568.9
13:20:45.998 INFO  ProgressMeter -           1:31252477             10.7                155530          14601.8
13:20:56.010 INFO  ProgressMeter -           1:31745310             10.8                158100          14614.1
13:21:06.028 INFO  ProgressMeter -           1:32575885             11.0                161750          14724.2
13:21:16.042 INFO  ProgressMeter -           1:33175140             11.2                164710          14769.3
13:21:26.120 INFO  ProgressMeter -           1:33831583             11.3                167930          14834.6
13:21:36.133 INFO  ProgressMeter -           1:34437518             11.5                171070          14892.4
13:21:46.145 INFO  ProgressMeter -           1:35267898             11.7                174850          15003.6
13:21:56.167 INFO  ProgressMeter -           1:36392057             11.8                179530          15187.5
13:22:06.170 INFO  ProgressMeter -           1:37243163             12.0                183370          15296.6
13:22:16.198 INFO  ProgressMeter -           1:37896488             12.2                186670          15357.7
13:22:26.286 INFO  ProgressMeter -           1:38478043             12.3                189660          15390.8
13:22:36.300 INFO  ProgressMeter -           1:39091979             12.5                192760          15433.4
13:22:46.322 INFO  ProgressMeter -           1:39824302             12.7                196200          15501.5
13:22:56.323 INFO  ProgressMeter -           1:40612275             12.8                199800          15580.7
13:23:06.324 INFO  ProgressMeter -           1:41310914             13.0                203190          15641.8
13:23:16.338 INFO  ProgressMeter -           1:41863081             13.2                206140          15667.6
13:23:26.342 INFO  ProgressMeter -           1:42852168             13.3                210470          15796.5
13:23:36.356 INFO  ProgressMeter -           1:43641720             13.5                214190          15876.8
13:23:46.395 INFO  ProgressMeter -           1:44431547             13.7                217880          15952.5
13:23:56.403 INFO  ProgressMeter -           1:44987712             13.8                220770          15969.1
13:24:06.414 INFO  ProgressMeter -           1:45622606             14.0                223910          16003.0
13:24:16.427 INFO  ProgressMeter -           1:46502703             14.2                227880          16094.8
13:24:26.443 INFO  ProgressMeter -           1:47203423             14.3                231250          16142.5
13:24:36.475 INFO  ProgressMeter -           1:47957763             14.5                234820          16202.6
13:24:46.487 INFO  ProgressMeter -           1:48739220             14.7                238540          16271.9
13:24:56.488 INFO  ProgressMeter -           1:49777993             14.8                243100          16396.6
13:25:06.496 INFO  ProgressMeter -           1:50907353             15.0                247720          16522.3
13:25:16.502 INFO  ProgressMeter -           1:52099934             15.2                252600          16662.4
13:25:26.513 INFO  ProgressMeter -           1:52991985             15.3                256500          16735.5
13:25:36.544 INFO  ProgressMeter -           1:53683942             15.5                259850          16771.2
13:25:46.560 INFO  ProgressMeter -           1:54406088             15.7                263320          16813.9
